^C^C(safe_env3) limyeeun@limyeeun-MS-7D42:~/src/safety-gymnasium-main/DDPG-HER-master$ mpirun -np 1 python3 -u main.py 
Creating offscreen glfw
Epoch:92| Running_reward:-1787.942| EP_reward:-1432.513| Memory_length:9300| Duration:284.704| Actor_Loss:16.989| Critic_Loss:0.036| Success rate:0.000| 12.4/31.1 GB RAM
Epoch:93| Running_reward:-1733.888| EP_reward:-1850.999| Memory_length:9400| Duration:284.674| Actor_Loss:18.701| Critic_Loss:0.065| Success rate:0.000| 12.5/31.1 GB RAM
Epoch:94| Running_reward:-2167.479| EP_reward:-1937.446| Memory_length:9500| Duration:284.516| Actor_Loss:18.076| Critic_Loss:0.042| Success rate:0.000| 12.6/31.1 GB RAM
Epoch:95| Running_reward:-1709.364| EP_reward:-1802.441| Memory_length:9600| Duration:284.895| Actor_Loss:18.442| Critic_Loss:0.072| Success rate:0.000| 12.7/31.1 GB RAM
Epoch:96| Running_reward:-1871.337| EP_reward:-2178.940| Memory_length:9700| Duration:284.189| Actor_Loss:17.740| Critic_Loss:0.091| Success rate:0.000| 12.8/31.1 GB RAM
Epoch:97| Running_reward:-1445.570| EP_reward:-1728.831| Memory_length:9800| Duration:284.946| Actor_Loss:16.826| Critic_Loss:0.107| Success rate:0.000| 12.8/31.1 GB RAM
Epoch:98| Running_reward:-1768.394| EP_reward:-1857.189| Memory_length:9900| Duration:284.445| Actor_Loss:17.970| Critic_Loss:0.098| Success rate:0.000| 13.0/31.1 GB RAM
Epoch:99| Running_reward:-1742.350| EP_reward:-1965.799| Memory_length:10000| Duration:284.864| Actor_Loss:18.136| Critic_Loss:0.082| Success rate:0.000| 13.1/31.1 GB RAM
Epoch:100| Running_reward:-2124.342| EP_reward:-1695.939| Memory_length:10100| Duration:284.497| Actor_Loss:18.059| Critic_Loss:0.059| Success rate:0.000| 13.1/31.1 GB RAM
Epoch:101| Running_reward:-1939.180| EP_reward:-1768.232| Memory_length:10200| Duration:284.423| Actor_Loss:17.662| Critic_Loss:0.066| Success rate:0.000| 13.2/31.1 GB RAM
Epoch:102| Running_reward:-2021.054| EP_reward:-2217.768| Memory_length:10300| Duration:284.479| Actor_Loss:17.525| Critic_Loss:0.130| Success rate:0.000| 13.3/31.1 GB RAM
Epoch:103| Running_reward:-1770.473| EP_reward:-1378.068| Memory_length:10400| Duration:284.713| Actor_Loss:16.246| Critic_Loss:0.048| Success rate:0.000| 13.4/31.1 GB RAM
Epoch:104| Running_reward:-1392.019| EP_reward:-2167.584| Memory_length:10500| Duration:285.100| Actor_Loss:17.305| Critic_Loss:0.042| Success rate:0.000| 13.5/31.1 GB RAM
Epoch:105| Running_reward:-2061.725| EP_reward:-1929.279| Memory_length:10600| Duration:284.621| Actor_Loss:17.395| Critic_Loss:0.090| Success rate:0.000| 13.6/31.1 GB RAM
Epoch:106| Running_reward:-1810.357| EP_reward:-2122.390| Memory_length:10700| Duration:284.264| Actor_Loss:17.611| Critic_Loss:0.079| Success rate:0.000| 13.7/31.1 GB RAM
Epoch:107| Running_reward:-1438.926| EP_reward:-1846.319| Memory_length:10800| Duration:284.548| Actor_Loss:17.241| Critic_Loss:0.082| Success rate:0.000| 13.7/31.1 GB RAM
Epoch:108| Running_reward:-2163.377| EP_reward:-1999.432| Memory_length:10900| Duration:284.865| Actor_Loss:16.938| Critic_Loss:0.043| Success rate:0.000| 13.8/31.1 GB RAM
Epoch:109| Running_reward:-1757.583| EP_reward:-1903.538| Memory_length:11000| Duration:284.386| Actor_Loss:18.541| Critic_Loss:0.135| Success rate:0.000| 13.9/31.1 GB RAM
Epoch:110| Running_reward:-1436.547| EP_reward:-1733.479| Memory_length:11100| Duration:284.994| Actor_Loss:17.415| Critic_Loss:0.039| Success rate:0.000| 14.0/31.1 GB RAM
Epoch:111| Running_reward:-1916.719| EP_reward:-2150.355| Memory_length:11200| Duration:284.220| Actor_Loss:17.022| Critic_Loss:0.072| Success rate:0.000| 14.1/31.1 GB RAM
Epoch:112| Running_reward:-2138.731| EP_reward:-2152.112| Memory_length:11300| Duration:284.264| Actor_Loss:18.691| Critic_Loss:0.065| Success rate:0.000| 14.2/31.1 GB RAM
Epoch:113| Running_reward:-2076.220| EP_reward:-1398.298| Memory_length:11400| Duration:284.308| Actor_Loss:17.241| Critic_Loss:0.055| Success rate:0.000| 14.2/31.1 GB RAM
Epoch:114| Running_reward:-1423.110| EP_reward:-1363.070| Memory_length:11500| Duration:284.692| Actor_Loss:18.835| Critic_Loss:0.110| Success rate:0.000| 14.3/31.1 GB RAM
Epoch:115| Running_reward:-2201.240| EP_reward:-1803.475| Memory_length:11600| Duration:284.262| Actor_Loss:17.854| Critic_Loss:0.054| Success rate:0.000| 14.5/31.1 GB RAM
Epoch:116| Running_reward:-1683.660| EP_reward:-1804.911| Memory_length:11700| Duration:284.461| Actor_Loss:17.411| Critic_Loss:0.068| Success rate:0.000| 14.5/31.1 GB RAM
Epoch:117| Running_reward:-1874.442| EP_reward:-1670.904| Memory_length:11800| Duration:284.999| Actor_Loss:17.212| Critic_Loss:0.073| Success rate:0.000| 14.6/31.1 GB RAM
